Variable,Importancia
coord_x,0.08270034083211297
coord_y,0.10415595549448944
x2,0.08633282190180117
y2,0.10356762207621327
xy,0.10970425472342875
dist_centroid,0.11163589543308032
point_density,0.11807583046129592
sin_week,0.09789016698832627
cos_week,0.09701937519316588
year,0.0
week,0.08891773689608584
