x,y,huevos_predichos,categoria
226560.69057034393,2308728.1608498963,27.79049857839537,MEDIO
226810.69057034393,2308728.1608498963,26.74703781958792,BAJO
227060.69057034393,2308728.1608498963,26.7615150962005,BAJO
227310.69057034393,2308728.1608498963,26.773675431347954,BAJO
223310.69057034393,2308978.1608498963,88.63485943355512,MUY ALTO
223560.69057034393,2308978.1608498963,88.67065028359532,MUY ALTO
223810.69057034393,2308978.1608498963,78.19060633647409,MUY ALTO
224060.69057034393,2308978.1608498963,62.543012818662376,MUY ALTO
224560.69057034393,2308978.1608498963,45.295597063047225,MUY ALTO
226060.69057034393,2308978.1608498963,26.231397035096602,BAJO
226310.69057034393,2308978.1608498963,26.9944697996203,MEDIO
226560.69057034393,2308978.1608498963,29.024584131135875,MEDIO
226810.69057034393,2308978.1608498963,27.861224221577835,MEDIO
227060.69057034393,2308978.1608498963,27.309871740684315,MEDIO
223060.69057034393,2309228.1608498963,59.214587971339846,MUY ALTO
223310.69057034393,2309228.1608498963,62.36496250852602,MUY ALTO
223560.69057034393,2309228.1608498963,59.813551211853046,MUY ALTO
223810.69057034393,2309228.1608498963,59.7196410834324,MUY ALTO
224060.69057034393,2309228.1608498963,59.62243090879158,MUY ALTO
224310.69057034393,2309228.1608498963,59.524692409760235,MUY ALTO
224560.69057034393,2309228.1608498963,59.429094175045584,MUY ALTO
224810.69057034393,2309228.1608498963,59.26279095682074,MUY ALTO
226310.69057034393,2309228.1608498963,28.815468976074364,MEDIO
226560.69057034393,2309228.1608498963,30.240536228668002,MEDIO
226810.69057034393,2309228.1608498963,29.623918198383425,MEDIO
227060.69057034393,2309228.1608498963,29.258175820693232,MEDIO
223060.69057034393,2309478.1608498963,57.59561123280221,MUY ALTO
223310.69057034393,2309478.1608498963,55.93429510605158,MUY ALTO
223560.69057034393,2309478.1608498963,55.27751711260186,MUY ALTO
223810.69057034393,2309478.1608498963,54.73515245908005,MUY ALTO
224060.69057034393,2309478.1608498963,53.97679567903289,MUY ALTO
224310.69057034393,2309478.1608498963,53.885684706986595,MUY ALTO
224560.69057034393,2309478.1608498963,53.23390332975535,MUY ALTO
226810.69057034393,2309478.1608498963,31.777915509650093,MEDIO
227060.69057034393,2309478.1608498963,31.368786088330893,MEDIO
223060.69057034393,2309728.1608498963,52.70336229881263,MUY ALTO
223310.69057034393,2309728.1608498963,51.8782668128133,MUY ALTO
223560.69057034393,2309728.1608498963,50.62262607879155,MUY ALTO
223810.69057034393,2309728.1608498963,50.55131163483646,MUY ALTO
224060.69057034393,2309728.1608498963,50.46332475496497,MUY ALTO
224310.69057034393,2309728.1608498963,48.75667012395734,MUY ALTO
226810.69057034393,2309728.1608498963,32.156065938798605,MEDIO
227060.69057034393,2309728.1608498963,32.40301375234124,MEDIO
223560.69057034393,2309978.1608498963,50.77722772835437,MUY ALTO
223810.69057034393,2309978.1608498963,50.508682533509564,MUY ALTO
226810.69057034393,2309978.1608498963,32.28236652587526,MEDIO
227060.69057034393,2309978.1608498963,31.40609939054054,MEDIO
223810.69057034393,2310228.1608498963,50.23637601166326,MUY ALTO
226810.69057034393,2310228.1608498963,33.98517954222184,MEDIO
226560.69057034393,2310478.1608498963,35.063493475864306,ALTO
226810.69057034393,2310478.1608498963,34.29742295672775,MEDIO
223810.69057034393,2310728.1608498963,46.26786145484629,MUY ALTO
226560.69057034393,2310728.1608498963,34.535392829396685,MEDIO
226810.69057034393,2310728.1608498963,34.17232726736805,MEDIO
223310.69057034393,2310978.1608498963,49.95023169109176,MUY ALTO
223560.69057034393,2310978.1608498963,47.43483189567397,MUY ALTO
223810.69057034393,2310978.1608498963,44.89881369462383,MUY ALTO
224060.69057034393,2310978.1608498963,42.30648302414271,MUY ALTO
226310.69057034393,2310978.1608498963,32.65389479370679,MEDIO
226560.69057034393,2310978.1608498963,32.6206760844246,MEDIO
226810.69057034393,2310978.1608498963,32.309798818642996,MEDIO
221810.69057034393,2311228.1608498963,51.273256642831605,MUY ALTO
223310.69057034393,2311228.1608498963,48.15777734247193,MUY ALTO
223560.69057034393,2311228.1608498963,46.67367435591058,MUY ALTO
223810.69057034393,2311228.1608498963,44.18825206390471,MUY ALTO
224060.69057034393,2311228.1608498963,42.486186265190625,MUY ALTO
224310.69057034393,2311228.1608498963,39.514930945009574,ALTO
226060.69057034393,2311228.1608498963,32.49995502132348,MEDIO
226560.69057034393,2311228.1608498963,31.883135263212292,MEDIO
226810.69057034393,2311228.1608498963,31.888481196479063,MEDIO
227060.69057034393,2311228.1608498963,31.694739211749265,MEDIO
227810.69057034393,2311228.1608498963,31.17172409068869,MEDIO
228060.69057034393,2311228.1608498963,31.299163684256474,MEDIO
229560.69057034393,2311228.1608498963,34.13365121091461,MEDIO
229810.69057034393,2311228.1608498963,34.25216822502653,MEDIO
221810.69057034393,2311478.1608498963,51.5873868041406,MUY ALTO
223310.69057034393,2311478.1608498963,46.62368483837848,MUY ALTO
223560.69057034393,2311478.1608498963,45.901201344397855,MUY ALTO
223810.69057034393,2311478.1608498963,43.69198349914245,MUY ALTO
224060.69057034393,2311478.1608498963,42.23487556143044,MUY ALTO
226060.69057034393,2311478.1608498963,32.126958865754276,MEDIO
226310.69057034393,2311478.1608498963,31.70780027503764,MEDIO
226560.69057034393,2311478.1608498963,31.36059246099157,MEDIO
226810.69057034393,2311478.1608498963,31.363183715767025,MEDIO
227060.69057034393,2311478.1608498963,31.570802590590805,MEDIO
227810.69057034393,2311478.1608498963,31.25452144788364,MEDIO
228060.69057034393,2311478.1608498963,31.381996590011553,MEDIO
229810.69057034393,2311478.1608498963,34.20859215806907,MEDIO
223810.69057034393,2311728.1608498963,43.49016019494134,MUY ALTO
224060.69057034393,2311728.1608498963,41.64453945816831,ALTO
226060.69057034393,2311728.1608498963,32.18968055341156,MEDIO
226310.69057034393,2311728.1608498963,31.63584787879956,MEDIO
226560.69057034393,2311728.1608498963,31.17357518157049,MEDIO
226810.69057034393,2311728.1608498963,30.91801841766608,MEDIO
227060.69057034393,2311728.1608498963,30.919225514612346,MEDIO
227310.69057034393,2311728.1608498963,31.03658970728535,MEDIO
227810.69057034393,2311728.1608498963,31.137497228471716,MEDIO
228060.69057034393,2311728.1608498963,31.456543309768424,MEDIO
229310.69057034393,2311728.1608498963,33.28635672539196,MEDIO
229810.69057034393,2311728.1608498963,33.643702604624664,MEDIO
223060.69057034393,2311978.1608498963,47.09165578017896,MUY ALTO
223310.69057034393,2311978.1608498963,46.76673331677251,MUY ALTO
223560.69057034393,2311978.1608498963,45.63520148782157,MUY ALTO
223810.69057034393,2311978.1608498963,44.13763123369893,MUY ALTO
224060.69057034393,2311978.1608498963,42.32813169827093,MUY ALTO
224310.69057034393,2311978.1608498963,40.886312623634005,ALTO
224560.69057034393,2311978.1608498963,39.14780717058239,ALTO
225310.69057034393,2311978.1608498963,33.80782596514244,MEDIO
226810.69057034393,2311978.1608498963,30.63530825533296,MEDIO
227060.69057034393,2311978.1608498963,30.656286837019987,MEDIO
227310.69057034393,2311978.1608498963,30.616538134540523,MEDIO
227560.69057034393,2311978.1608498963,30.632761245487067,MEDIO
227810.69057034393,2311978.1608498963,30.713067003829806,MEDIO
228060.69057034393,2311978.1608498963,31.12375259731331,MEDIO
229310.69057034393,2311978.1608498963,33.356389823457164,MEDIO
229560.69057034393,2311978.1608498963,33.45068134745125,MEDIO
229810.69057034393,2311978.1608498963,33.299080574651946,MEDIO
222310.69057034393,2312228.1608498963,46.929288144621076,MUY ALTO
222560.69057034393,2312228.1608498963,46.868513207329116,MUY ALTO
222810.69057034393,2312228.1608498963,47.49335367289668,MUY ALTO
223060.69057034393,2312228.1608498963,47.384692790023635,MUY ALTO
223310.69057034393,2312228.1608498963,47.75426836693897,MUY ALTO
223560.69057034393,2312228.1608498963,47.242311379184684,MUY ALTO
223810.69057034393,2312228.1608498963,45.51886405471737,MUY ALTO
224060.69057034393,2312228.1608498963,43.585170271999395,MUY ALTO
224310.69057034393,2312228.1608498963,41.75642344043295,ALTO
224560.69057034393,2312228.1608498963,39.5881432391421,ALTO
224810.69057034393,2312228.1608498963,37.31170495581242,ALTO
225060.69057034393,2312228.1608498963,35.62581915564215,ALTO
225310.69057034393,2312228.1608498963,33.86035034190263,MEDIO
225560.69057034393,2312228.1608498963,32.5540365553697,MEDIO
226810.69057034393,2312228.1608498963,30.17944034127325,MEDIO
227060.69057034393,2312228.1608498963,30.52416067726107,MEDIO
227310.69057034393,2312228.1608498963,30.49446338513897,MEDIO
227560.69057034393,2312228.1608498963,30.074100823734344,MEDIO
227810.69057034393,2312228.1608498963,30.710936195069724,MEDIO
228060.69057034393,2312228.1608498963,31.176147894911217,MEDIO
229810.69057034393,2312228.1608498963,33.72519942625167,MEDIO
230060.69057034393,2312228.1608498963,33.456257355978046,MEDIO
221810.69057034393,2312478.1608498963,46.74216307375243,MUY ALTO
222060.69057034393,2312478.1608498963,46.59420345193679,MUY ALTO
222310.69057034393,2312478.1608498963,46.71987897029558,MUY ALTO
222560.69057034393,2312478.1608498963,46.5781641958264,MUY ALTO
222810.69057034393,2312478.1608498963,46.83382406515017,MUY ALTO
223060.69057034393,2312478.1608498963,47.810252045987795,MUY ALTO
223310.69057034393,2312478.1608498963,49.74824668352841,MUY ALTO
223560.69057034393,2312478.1608498963,51.38931524141905,MUY ALTO
223810.69057034393,2312478.1608498963,48.989469662175665,MUY ALTO
224060.69057034393,2312478.1608498963,45.03448119558148,MUY ALTO
224310.69057034393,2312478.1608498963,42.53214897646253,MUY ALTO
224560.69057034393,2312478.1608498963,40.615248094471745,ALTO
224810.69057034393,2312478.1608498963,38.24065476067401,ALTO
